StudyHours,Attendance,MobileUsage,Passed
6,78,7,0
2,72,7,0
4,85,7,0
4,82,5,0
5,90,2,1
8,52,4,0
2,56,4,0
8,63,1,1
9,58,4,0
6,93,7,0
2,63,0,0
1,55,5,0
9,53,5,0
3,63,7,0
6,89,4,0
4,73,8,0
5,88,1,1
0,93,7,0
7,60,2,1
0,54,6,0
9,90,6,1
0,97,6,0
6,73,4,0
10,84,0,1
2,86,2,0
6,76,8,0
9,91,2,1
3,81,3,0
4,72,6,0
3,62,6,0
10,100,5,1
5,75,3,1
10,77,8,0
8,76,8,0
3,62,8,0
10,58,4,0
0,100,7,0
7,90,3,1
0,98,3,0
2,98,4,0
0,66,0,0
6,86,0,1
0,68,1,0
5,81,6,0
3,60,7,0
7,54,3,0
1,55,5,0
0,58,5,0
2,69,3,0
2,69,6,0
3,90,0,0
5,90,2,1
5,90,2,1
6,65,8,0
3,98,1,1
6,58,8,0
2,68,2,0
0,73,3,0
10,98,7,1
2,97,8,0
2,74,1,0
5,84,8,0
3,82,3,0
3,57,6,0
2,66,0,0
5,71,5,1
5,94,2,1
1,70,0,0
0,54,2,0
0,93,4,0
5,84,8,0
4,80,2,0
0,70,6,0
1,74,5,0
9,52,7,0
10,91,1,1
9,66,7,0
6,78,6,0
9,84,1,1
3,50,7,0
2,72,1,0
5,100,8,0
9,71,5,1
4,82,7,0
4,93,4,0
3,79,2,0
6,89,3,0
9,75,4,0
9,72,8,0
9,50,1,1
5,97,8,0
5,90,2,1
6,52,2,0
9,75,4,1
6,85,0,1
9,59,5,0
5,90,2,1
7,54,3,0
5,90,2,1
5,90,2,1
